Gemeente;Aantal respondenten 18-64 jaar (2020);% dat ernstige slaapverstoring door vliegverkeer ervaart (2020)
Aalsmeer;935;23.7
Alphen aan den Rijn;1.526;2.2
Amstelveen;1.554;11.2
Amsterdam;2.817;4.1
Beemster;424;2.2
Bergen (NH.);502;5.6
Beverwijk;1.147;2.4
Bodegraven-Reeuwijk;931;5.1
Castricum;563;12.5
De Ronde Venen;537;3.8
Diemen;776;4.4
Gooise Meren;1.097;3.0
Haarlemmermeer;4.515;6.1
Heemskerk;667;1.9
Heiloo;519;11.1
Kaag en Braassem;1.026;8.7
Landsmeer;446;2.2
Laren;331;1.9
Lisse;471;2.6
Nieuwkoop;682;10.7
Oegstgeest;461;7.1
Oostzaan;425;2.6
Ouder-Amstel;559;6.2
Teylingen;448;6.7
Uitgeest;502;11.3
Uithoorn;1.08;16.8
Velsen;1.895;1.9
Weesp;485;3.7
Wijdemeren;480;3.2
Wormerland;462;3.6
Zaanstad;5.037;5.1
