Regio_naam,BBP-verandering (%),Afstand 
Oost-Groningen,1,230
Delfzijl e.o.,-4,50
Overig Groningen,2,250
Noord-Friesland,3,160
Zuidwest-Friesland,2,119
Zuidoost-Friesland,2,138
Noord-Drenthe,3,151
Zuidoost-Drenthe,2,160
Zuidwest-Drenthe,3,170
Noord-Overijssel,2,120
Zuidwest-Overijssel,3,80
Twente,3,160
Veluwe,3,90
Achterhoek,3,150
Aggl. Arnhem/Nijmegen,4,100
Zuidwest-Gelderland,2,70
Utrecht-West,3,40
Stadsgewest Amersfoort,3,60
Stadsgewest Utrecht,3,40
Zuidoost-Utrecht,3,50
Kop van Noord-Holland,3,50
Alkmaar e.o.,3,30
IJmond,1,15
Agglomeratie Haarlem,5,10
Zaanstreek,2,20
Amsterdam,5,10
Overig Agglomeratie Amsterdam,5,10
Edam-Volendam e.o.,3,25
Haarlemmermeer e.o.,8,5
Het Gooi en Vechtstreek,4,30
Agglomeratie Leiden en Bollenstreek,5,35
Agglomeratie?s-Gravenhage (Excl. Zoetermeer),4,45
Zoetermeer,5,45
Delft en Westland,3,50
Oost-Zuid-Holland,3,60
Rijnmond,2,45
Overig Groot-Rijnmond,2,40
Drechtsteden,1,65
Overig Zuidoost-Zuid-Holland,2,70
Zeeuwsch-Vlaanderen,-3,210
Overig Zeeland,5,150
West-Noord-Brabant,2,80
Midden-Noord-Brabant,3,90
Stadsgewest ?s-Hertogenbosch,3,80
Overig Noordoost-Noord-Brabant,3,120
Zuidoost-Noord-Brabant,6,140
Noord-Limbug,2,200
Midden-Limburg,3,220
Zuid-Limburg,0,230
Almere,4,40
Flevoland-Midden,5,40
Noordoostpolder en Urk,3,70
