Country,Year,GDP in Millions
Australia,1970,283519.303
Australia,1971,294605.714
Australia,1972,302322.546
Australia,1973,314738.851
Australia,1974,318944.738
Australia,1975,327201.486
Australia,1976,338963.833
Australia,1977,341991.287
Australia,1978,355842.025
Australia,1979,366643.926
Australia,1980,378887.981
Australia,1981,391485.447
Australia,1982,382776.689
Australia,1983,400352.794
Australia,1984,421484.391
Australia,1985,438201.618
Australia,1986,449416.326
Australia,1987,475290.757
Australia,1988,493710.296
Australia,1989,511367.775
Australia,1990,509408.868
Australia,1991,511592.295
Australia,1992,532298.61
Australia,1993,553489.01
Australia,1994,575003.716
Australia,1995,597180.696
Australia,1996,620547.395
Australia,1997,649175.461
Australia,1998,681350.703
Australia,1999,707931.362
Australia,2000,722383.195
Australia,2001,751232.217
Australia,2002,774606.043
Australia,2003,807268.339
Australia,2004,832727.586
Australia,2005,855549.616
Australia,2006,887871.568
Australia,2007,919553.223
Australia,2008,936753.347
Australia,2009,957423.43
Australia,2010,980319.112
Australia,2011,1018571.24
Australia,2012,1044837.69
Australia,2013,1071784.233
Australia,2014,1094856.917
Australia,2015,1124752.51
Australia,2016,1150421.428
Australia,2017,1183588.597
Australia,2018,1209288.995
Australia,2019,1208673.644
Australia,2020,1235702.154
Australia,2021,1280404.774
Australia,2022,1326870.291
Austria,1970,152515.352
Austria,1971,160313.659
Austria,1972,170265.708
Austria,1973,178587.105
Austria,1974,185630.134
Austria,1975,184957.59
Austria,1976,193423.104
Austria,1977,203248.96
Austria,1978,202820.809
Austria,1979,213685.311
Austria,1980,217385.241
Austria,1981,217071.566
Austria,1982,221437.428
Austria,1983,228020.957
Austria,1984,228137.876
Austria,1985,233838.308
Austria,1986,239219.846
Austria,1987,242466.461
Austria,1988,250457.865
Austria,1989,260193.35
Austria,1990,271500.42
Austria,1991,280844.453
Austria,1992,286724.001
Austria,1993,288234.49
Austria,1994,295158.225
Austria,1995,303032.998
Austria,1996,310152.861
Austria,1997,316646.219
Austria,1998,327986.669
Austria,1999,339650.961
Austria,2000,351116.634
Austria,2001,355565.872
Austria,2002,361438.234
Austria,2003,364841.07
Austria,2004,374819.912
Austria,2005,383231.116
Austria,2006,396468.079
Austria,2007,411246.09
Austria,2008,417252.026
Austria,2009,401544.247
Austria,2010,408920.991
Austria,2011,420872.923
Austria,2012,423736.734
Austria,2013,423844.807
Austria,2014,426647.577
Austria,2015,430975.924
Austria,2016,439549.919
Austria,2017,449477.472
Austria,2018,460379.033
Austria,2019,467364.772
Austria,2020,437201.197
Austria,2021,457123.804
Austria,2022,479966.017
Belgium,1970,194505.731
Belgium,1971,201805.573
Belgium,1972,212411.761
Belgium,1973,225416.305
Belgium,1974,234882.965
Belgium,1975,231766.068
Belgium,1976,244867.226
Belgium,1977,246400.427
Belgium,1978,253402.912
Belgium,1979,259335.221
Belgium,1980,270952.145
Belgium,1981,270195.42
Belgium,1982,271803.048
Belgium,1983,272650.646
Belgium,1984,279375.254
Belgium,1985,283989.954
Belgium,1986,289166.416
Belgium,1987,295836.5
Belgium,1988,309809.476
Belgium,1989,320557.284
Belgium,1990,330614.456
Belgium,1991,336674.864
Belgium,1992,341828.194
Belgium,1993,338540.241
Belgium,1994,349464.838
Belgium,1995,357798.726
Belgium,1996,362526.86
Belgium,1997,376279.888
Belgium,1998,383661.778
Belgium,1999,397253.931
Belgium,2000,412018.586
Belgium,2001,416549.22
Belgium,2002,423659.234
Belgium,2003,428056.743
Belgium,2004,443343.524
Belgium,2005,453636.795
Belgium,2006,465215.194
Belgium,2007,482320.604
Belgium,2008,484476.233
Belgium,2009,474686.213
Belgium,2010,488282.616
Belgium,2011,496556.632
Belgium,2012,500227.265
Belgium,2013,502524.519
Belgium,2014,510457.036
Belgium,2015,520877.807
Belgium,2016,527475.695
Belgium,2017,536018.587
Belgium,2018,545629.107
Belgium,2019,557968.882
Belgium,2020,528047.321
Belgium,2021,561240.014
Belgium,2022,579468.176
Canada,1970,468244.061
Canada,1971,487061.255
Canada,1972,513945.169
Canada,1973,548526.763
Canada,1974,566945.059
Canada,1975,575706.4
Canada,1976,609611.288
Canada,1977,631159.194
Canada,1978,654738.658
Canada,1979,679128.893
Canada,1980,693914.479
Canada,1981,717783.283
Canada,1982,694905.648
Canada,1983,712982.503
Canada,1984,755108.768
Canada,1985,790881.29
Canada,1986,807845.473
Canada,1987,840748.689
Canada,1988,877826.639
Canada,1989,898165.7
Canada,1990,899644.733
Canada,1991,880877.375
Canada,1992,888807.557
Canada,1993,912457.452
Canada,1994,953467.544
Canada,1995,979153.733
Canada,1996,995007.921
Canada,1997,1037594.658
Canada,1998,1078020.922
Canada,1999,1133678.211
Canada,2000,1192375.938
Canada,2001,1213719.144
Canada,2002,1250349.801
Canada,2003,1272875.079
Canada,2004,1312168.488
Canada,2005,1354212.997
Canada,2006,1389887.081
Canada,2007,1418683.11
Canada,2008,1432930.791
Canada,2009,1391003.872
Canada,2010,1433984.771
Canada,2011,1479099.373
Canada,2012,1505145.745
