"Regio_naam","BBP-verandering (%)"
"Oost-Groningen","4"
"Delfzijl e.o.","5"
"Overig Groningen","5"
"Noord-Friesland","5"
"Zuidwest-Friesland","6"
"Zuidoost-Friesland","6"
"Noord-Drenthe","5"
"Zuidoost-Drenthe","5"
"Zuidwest-Drenthe","6"
"Noord-Overijssel","6"
"Zuidwest-Overijssel","7"
"Twente","7"
"Veluwe","6"
"Achterhoek","7"
"Aggl. Arnhem/Nijmegen","7"
"Zuidwest-Gelderland","6"
"Utrecht-West","7"
"Stadsgewest Amersfoort","7"
"Stadsgewest Utrecht","7"
"Zuidoost-Utrecht","7"
"Kop van Noord-Holland","6"
"Alkmaar e.o.","7"
"IJmond","8"
"Agglomeratie Haarlem","9"
"Zaanstreek","9"
"Amsterdam","10"
"Overig Agglomeratie Amsterdam","9"
"Edam-Volendam e.o.","7"
"Haarlemmermeer e.o.","18"
"Het Gooi en Vechtstreek","9"
"Agglomeratie Leiden en Bollenstreek","8"
"Agglomeratie�s-Gravenhage (Excl. Zoetermeer)","7"
"Zoetermeer","6"
"Delft en Westland","6"
"Oost-Zuid-Holland","6"
"Rijnmond","7"
"Overig Groot-Rijnmond","5"
"Drechtsteden","6"
"Overig Zuidoost-Zuid-Holland","6"
"Zeeuwsch-Vlaanderen","11"
"Overig Zeeland","8"
"West-Noord-Brabant","7"
"Midden-Noord-Brabant","7"
"Stadsgewest �s-Hertogenbosch","7"
"Overig Noordoost-Noord-Brabant","7"
"Zuidoost-Noord-Brabant","9"
"Noord-Limbug","8"
"Midden-Limburg","7"
"Zuid-Limburg","6"
"Almere","7"
"Flevoland-Midden","9"
"Noordoostpolder en Urk","5"
