"Amsterdam Airport Schiphol; passagiersvervoer, partnerluchthaven"
""
"";"";"Onderwerp"
"";"";"Totaal aantal passagiers";"Passagiers aangekomen in Nederland";"Passagiers vertrokken uit Nederland"
"Luchthavens (herkomst/bestemming)";"Perioden";"aantal";"aantal";"aantal"
"Denemarken, Kopenhagen/Kastrup";"2012";"822723";"413495";"409228"
"Denemarken, Kopenhagen/Kastrup";"2013";"805925";"403184";"402741"
"Denemarken, Kopenhagen/Kastrup";"2014";"888084";"446454";"441630"
"Denemarken, Kopenhagen/Kastrup";"2015";"913056";"460113";"452943"
"Denemarken, Kopenhagen/Kastrup";"2016";"974884";"490563";"484321"
"Denemarken, Kopenhagen/Kastrup";"2017";"1033327";"516729";"516598"
"Denemarken, Kopenhagen/Kastrup";"2018";"1090783";"545615";"545168"
"Denemarken, Kopenhagen/Kastrup";"2019";"1110441";"552511";"557930"
"Denemarken, Kopenhagen/Kastrup";"2020";"353378";"173116";"180262"
"Denemarken, Kopenhagen/Kastrup";"2021";"398847";"201486";"197361"
"Denemarken, Kopenhagen/Kastrup";"2022";"972981";"491770";"481211"
"Duitsland, München";"2012";"689499";"346287";"343212"
"Duitsland, München";"2013";"693233";"350017";"343216"
"Duitsland, München";"2014";"731536";"367910";"363626"
"Duitsland, München";"2015";"789276";"398338";"390938"
"Duitsland, München";"2016";"794991";"399695";"395296"
"Duitsland, München";"2017";"954602";"477334";"477268"
"Duitsland, München";"2018";"996203";"500693";"495510"
"Duitsland, München";"2019";"971134";"488783";"482351"
"Duitsland, München";"2020";"261908";"130229";"131679"
"Duitsland, München";"2021";"255979";"128070";"127909"
"Duitsland, München";"2022";"611516";"311257";"300259"
"Duitsland, Stuttgart";"2012";"206508";"103157";"103351"
"Duitsland, Stuttgart";"2013";"210792";"105674";"105118"
"Duitsland, Stuttgart";"2014";"228685";"114661";"114024"
"Duitsland, Stuttgart";"2015";"284505";"142822";"141683"
"Duitsland, Stuttgart";"2016";"313170";"157875";"155295"
"Duitsland, Stuttgart";"2017";"325969";"165173";"160796"
"Duitsland, Stuttgart";"2018";"345827";"175009";"170818"
"Duitsland, Stuttgart";"2019";"345394";"175262";"170132"
"Duitsland, Stuttgart";"2020";"112695";"55786";"56909"
"Duitsland, Stuttgart";"2021";"113439";"56728";"56711"
"Duitsland, Stuttgart";"2022";"214598";"108707";"105891"
"Frankrijk, Parijs/Charles de Gaulle";"2012";"1124252";"577583";"546669"
"Frankrijk, Parijs/Charles de Gaulle";"2013";"1126680";"579475";"547205"
"Frankrijk, Parijs/Charles de Gaulle";"2014";"1159106";"594538";"564568"
