"Category","Bestedingen buitenlands toerisme","Bestedingen binnenlands toerisme: bestemming binnenland","Bestedingen binnenlands toerisme: bestemming buitenland","Overige bestedingen","Totale bestedingen"
"2010",14900,37094,4723,2799,59516
"2011",15569,38726,5143,2799,62237
"2012",17239,39183,5475,2795,64692
"2013",18986,38772,5512,2768,66038
"2014",21121,39930,5591,2799,69441
"2015",23957,40921,5770,2864,73512
"2016",26568,41512,5862,2901,76843
"2017",30040,42961,6192,2994,82187
"2018",32229,44717,6456,3051,86453
"2019",34729,46558,6366,3161,90814
"2020",15744,32290,1892,3326,53252
"2021*",17819,34984,2781,3345,58929
