,Jaar,Bestedingen buitenlands toerisme,Bestedingen binnenlands toerisme: bestemming binnenland,Bestedingen binnenlands toerisme: bestemming buitenland,Overige bestedingen,Totale bestedingen,Handelsverkeer,Andere vliegtuigbewegingen,Totaal
0,2010,14900,37094,4723,2799,59516,386.316,16.059,402.375
1,2011,15569,38726,5143,2799,62237,420.245,16.838,437.083
2,2012,17239,39183,5475,2795,64692,423.405,14.485,437.89
3,2013,18986,38772,5512,2768,66038,425.565,14.486,440.051
4,2014,21121,39930,5591,2799,69441,438.295,14.385,452.68
5,2015,23957,40921,5770,2864,73512,450.673,14.835,465.508
6,2016,26568,41512,5862,2901,76843,478.864,17.812,496.676
7,2017,30040,42961,6192,2994,82187,496.739,17.562,514.301
8,2018,32229,44717,6456,3051,86453,499.444,18.29,517.734
9,2019,34729,46558,6366,3161,90814,496.827,18.957,515.784
10,2020,15744,32290,1892,3326,53252,227.275,14.126,241.401
11,2021,17819,34984,2781,3345,58929,266.956,18.626,285.582
