, source airport, destination airport,count
17395,ATL,LAX,915
38000,ATL,ORD,915
17394,ATL,DFW,915
17396,ATL,SFO,915
37999,ATL,IAD,915
37998,ATL,FRA,915
44937,ATL,JFK,915
50773,ATL,JFK,915
44938,ATL,ORD,915
9168,ATL,TUS,915
9169,ATL,TYS,915
9154,ATL,SHV,915
9155,ATL,SJO,915
9156,ATL,SJU,915
9160,ATL,SRQ,915
9161,ATL,STL,915
9158,ATL,SMF,915
9159,ATL,SNA,915
9148,ATL,SAV,915
9149,ATL,SBN,915
9150,ATL,SDF,915
9151,ATL,SEA,915
55807,ATL,LGA,915
55808,ATL,ORD,915
55809,ATL,SFO,915
9152,ATL,SFO,915
9167,ATL,TUL,915
9153,ATL,SGF,915
60980,ATL,MIA,915
60981,ATL,SJD,915
60973,ATL,CMH,915
60974,ATL,CUN,915
60978,ATL,LAX,915
60975,ATL,CZM,915
60976,ATL,IAH,915
60977,ATL,IND,915
60979,ATL,MEX,915
46765,ATL,ORD,915
46764,ATL,DFW,915
61665,ATL,DEN,915
61655,ATL,ABQ,915
61656,ATL,AUS,915
61657,ATL,BHM,915
61668,ATL,EWR,915
61687,ATL,MTY,915
61688,ATL,OKC,915
61689,ATL,ORD,915
61678,ATL,LAX,915
61679,ATL,LHR,915
61680,ATL,MAN,915
61681,ATL,MCI,915
61682,ATL,MCO,915
61683,ATL,MEM,915
61685,ATL,MIA,915
61686,ATL,MSY,915
9157,ATL,SLC,915
61673,ATL,IAH,915
61674,ATL,IND,915
61675,ATL,JAX,915
61677,ATL,LAS,915
61695,ATL,SAN,915
61700,ATL,SJC,915
61701,ATL,SJU,915
61702,ATL,SMF,915
61664,ATL,DAL,915
61666,ATL,DFW,915
61667,ATL,DTW,915
61684,ATL,MEX,915
61669,ATL,FLL,915
61670,ATL,GDL,915
61671,ATL,HOU,915
61672,ATL,IAD,915
17818,ATL,ORD,915
61660,ATL,CHS,915
61661,ATL,CLT,915
61662,ATL,CUN,915
61663,ATL,CVG,915
61676,ATL,JFK,915
36356,ATL,DHN,915
36374,ATL,GDL,915
36357,ATL,DSM,915
36358,ATL,DTW,915
36359,ATL,DUB,915
36366,ATL,EYW,915
36346,ATL,CSG,915
36347,ATL,CUN,915
36348,ATL,CVG,915
36392,ATL,JAX,915
36395,ATL,LAX,915
36351,ATL,DAL,915
36349,ATL,CZM,915
36350,ATL,DAB,915
36360,ATL,DUS,915
36361,ATL,ECP,915
61699,ATL,SFO,915
61704,ATL,STL,915
61705,ATL,TPA,915
61659,ATL,BOS,915
